timestamp,voltage,current,active_power,energy_consumption,power_factor,temperature,humidity,light_intensity,building_type,occupancy_level,operational_schedule,electricity_tariff,appliance_category,demand_kWh
1779550781,212.68,8.23,1304.58,1.3,0.92,31.7,72.7,454,Commercial,27,Nighttime,Off-Peak,HVAC,455.4
1779555941,226.52,2.17,477.48,0.95,0.94,24.9,54.3,905,Commercial,56,Nighttime,Off-Peak,Lighting,170.85
1779561101,215.29,4.87,907.81,2.72,0.99,34.0,68.6,86,Commercial,90,Nighttime,Standard,Lighting,189.6
1779566261,212.97,18.33,3792.67,15.17,0.94,34.0,86.5,132,Residential,59,Daytime,Peak,Machinery,1006.98
1779571421,213.16,18.67,2859.74,14.3,0.87,29.4,83.1,86,Industrial,5,Nighttime,Off-Peak,Machinery,450.0
1779576581,213.78,2.23,333.78,2.0,0.88,26.9,67.3,142,Industrial,74,Nighttime,Peak,HVAC,560.25
1779581741,211.75,16.04,2769.88,19.39,0.97,29.5,70.6,113,Industrial,16,Nighttime,Standard,Machinery,605.88
1779586901,222.6,18.64,2976.5,23.81,0.93,27.8,83.4,24,Industrial,73,24/7,Peak,Lighting,739.2600000000001
1779592061,224.01,4.63,997.26,8.98,0.81,32.1,88.4,53,Industrial,19,Daytime,Peak,Lighting,601.5600000000001
1779597221,234.67,13.05,2417.57,24.18,0.94,32.0,71.3,186,Industrial,77,Nighttime,Off-Peak,HVAC,752.22
1779602381,212.63,12.53,2266.71,24.93,0.9,29.4,62.5,709,Industrial,100,24/7,Peak,Machinery,608.4
1779607541,232.43,2.43,526.64,6.32,0.89,31.7,68.5,301,Industrial,99,Nighttime,Standard,Machinery,600.75
1779612701,219.98,14.04,2600.02,33.8,0.94,30.6,61.5,595,Residential,80,Nighttime,Peak,Computers,1049.88
1779617861,227.63,13.45,2399.92,33.6,0.89,30.4,82.9,120,Industrial,20,Nighttime,Standard,HVAC,483.75
1779623021,211.16,12.23,1840.68,27.61,0.96,27.9,84.0,454,Residential,23,24/7,Peak,Machinery,583.2
1779628181,237.42,2.02,441.49,7.06,0.93,28.6,69.8,129,Residential,4,Daytime,Off-Peak,Machinery,582.6600000000001
1779633341,216.14,14.99,2869.92,48.79,0.9,34.0,79.4,855,Residential,73,Daytime,Standard,Lighting,699.84
1779638501,224.85,15.57,3460.18,62.28,0.93,25.1,77.8,185,Residential,68,Nighttime,Standard,Lighting,688.5
1779643661,238.03,3.35,621.14,11.8,0.93,32.9,88.1,339,Industrial,16,Daytime,Standard,HVAC,468.90000000000003
1779648821,217.37,9.46,1804.66,36.09,0.85,26.4,84.8,198,Industrial,97,24/7,Off-Peak,Lighting,667.35
